id,lat,lng,geoprivacy,observed_on,time_observed_at,place_guess
200667222,-33.9502116667,151.2571116667,open,2024-02-28,2024-02-28T09:48:39+11:00,"Maroubra Bay, Maroubra, NSW, AU"
200751586,-33.850947,151.277222,open,2024-02-28,2024-02-28T11:04:00+11:00,"Parsley Bay, Vaucluse, NSW, Australia"
200774848,-33.9491416667,151.257295,open,2024-02-29,2024-02-29T10:07:04+11:00,"Maroubra Bay, Maroubra, NSW, AU"
200785646,-33.9258716667,151.259445,open,2024-02-29,2024-02-29T14:00:05+11:00,"Wylie's Baths, Coogee, NSW, AU"
200980001,-33.9477844238,151.2577209473,open,2024-03-02,2024-03-02T17:52:46+11:00,Maroubra
201218475,-33.6985633333,151.3101916667,open,2022-10-01,2022-10-01T09:15:07+10:00,"Turimetta Beach, Warriewood, NSW, AU"
201234113,-33.8921866667,151.2765366667,open,2024-03-02,2024-03-02T07:50:03+11:00,"Bondi Beach, Bondi Beach, NSW, AU"
202368021,-33.9485283333,151.25592,open,2024-03-14,2024-03-14T09:12:11+11:00,"Arthur Byrne Reserve, Maroubra, NSW, AU"
202423998,-33.8923916667,151.275405,open,2024-03-04,2024-03-04T12:10:04+11:00,"Bondi Beach, Bondi Beach, NSW, AU"
202506922,-34.0409521854,151.2107256378,open,2024-03-15,2024-03-15T18:36:22+11:00,"Kurnell NSW 2231, Australia"
202590731,-33.699175,151.309903,open,2024-03-16,,Turimetta beach
202943218,-33.9507833506,151.2568254354,open,2024-03-18,2024-03-18T10:01:47+11:00,"Maroubra Beach, Maroubra, NSW, AU"
203094250,-34.1169583333,151.1393445,open,2024-03-19,2024-03-19T14:59:41+11:00,"Marley Beach, Royal National Park, NSW, AU"
